image,subCategory
36303.jpg,Topwear
6669.jpg,Shoes
48073.jpg,Topwear
51169.jpg,Socks
22891.jpg,Sandal
56073.jpg,Lips
37514.jpg,Bottomwear
53058.jpg,Bags
3629.jpg,Flip Flops
31862.jpg,Watches
8925.jpg,Belts
50557.jpg,Innerwear
49837.jpg,Flip Flops
7479.jpg,Topwear
37906.jpg,Fragrance
20616.jpg,Bags
6353.jpg,Sandal
46316.jpg,Watches
11946.jpg,Sandal
5897.jpg,Shoes
54630.jpg,Watches
54524.jpg,Shoes
37416.jpg,Bags
7624.jpg,Belts
35989.jpg,Dress
19873.jpg,Flip Flops
56211.jpg,Jewellery
51353.jpg,Bottomwear
46305.jpg,Belts
5005.jpg,Bottomwear
10735.jpg,Bags
4647.jpg,Sandal
47241.jpg,Shoes
23607.jpg,Fragrance
31955.jpg,Shoes
25741.jpg,Wallets
25826.jpg,Topwear
18444.jpg,Fragrance
56253.jpg,Loungewear and Nightwear
3796.jpg,Topwear
52924.jpg,Saree
18637.jpg,Topwear
25610.jpg,Watches
10330.jpg,Belts
13814.jpg,Topwear
22672.jpg,Bags
53029.jpg,Saree
51398.jpg,Bottomwear
15633.jpg,Topwear
53025.jpg,Saree
38239.jpg,Eyewear
47578.jpg,Shoes
59100.jpg,Innerwear
42153.jpg,Topwear
48148.jpg,Wallets
57717.jpg,Lips
6829.jpg,Shoes
57239.jpg,Bags
28034.jpg,Innerwear
15715.jpg,Shoes
11642.jpg,Watches
56368.jpg,Fragrance
22846.jpg,Shoes
13921.jpg,Shoes
13824.jpg,Headwear
6511.jpg,Sandal
51708.jpg,Eyewear
16893.jpg,Eyewear
8651.jpg,Eyewear
12073.jpg,Topwear
56880.jpg,Shoes
34038.jpg,Topwear
58950.jpg,Fragrance
50293.jpg,Ties
17745.jpg,Shoes
18951.jpg,Socks
15115.jpg,Bottomwear
52930.jpg,Saree
1605.jpg,Bottomwear
39653.jpg,Shoes
22933.jpg,Watches
53363.jpg,Bags
13981.jpg,Shoes
25828.jpg,Topwear
3810.jpg,Topwear
52368.jpg,Loungewear and Nightwear
39973.jpg,Shoes
56220.jpg,Jewellery
30501.jpg,Innerwear
13949.jpg,Bags
33364.jpg,Wallets
53760.jpg,Topwear
11038.jpg,Topwear
3843.jpg,Shoes
11900.jpg,Shoes
40405.jpg,Dress
43837.jpg,Jewellery
6626.jpg,Shoes
27969.jpg,Innerwear
55375.jpg,Nails
37319.jpg,Watches
42005.jpg,Wallets
31852.jpg,Watches
55439.jpg,Lips
28059.jpg,Innerwear
51003.jpg,Innerwear
57225.jpg,Bags
30527.jpg,Innerwear
30178.jpg,Watches
17420.jpg,Watches
